Bill No.,Auto-generated link,Sponsor(s),Source,Date Received,Bill Description,Committee/Status,Priority,Fellows Approved,Leg Team Approved,Approved for Sign-on,Sent Co-sponsor req.,Date Buckslip Submitted,Notes
S1999,link,May,Farm Bureau NY,,Relates to direct interstate and intrastate cider shipments; establishes requirements regarding age verification and shipping limits.,,,,,,,,
S1056A,link,Hinchey,Farm Bureau NY,,"Includes certain land that is owned or rented as a farm operation for the production for sale of crops, livestock or livestock products as land used in agricultural production.",,,,,,,,
S1017,link,Cooney,Farm Bureau NY,,Exempts certain property and services used in the cultivation of cannabis for adult-use from sales and compensating use taxes.,,,,,,,,
S8468,link,Hinchey,Farm Bureau NY,,Expands the tax exemption for new farm buildings to include buildings used for on-farm retail sales.,,,,,,,,
S423A,link,Hinchey,Farm Bureau NY,,"Permits a school food authority to attribute moneys spent on purchases of food products from New York state farmers, growers, producers or processors made for its school breakfast program to the thirty percent of costs for school breakfast and lunch service programs.",,,,,,,,
S8378,link,Hinchey,Farm Bureau NY,,Increases the amount of state subsidies schools may receive for serving lunch meals.,,,,,,,,
S1678A,link,Hinchey,Farm Bureau NY,,"Requires all public school districts, charter schools and non-public schools in the state that participate in the national school lunch program or school breakfast program as provided in the national child nutrition act to serve breakfast and lunch at no cost to the student.",,,,,,,,
S4675,link,Ramos,COFCCA,,"Relates to the convening of a human services employee wage board; requires the commissioner of labor to convene a human services employee wage board comprised of twelve members; requires the wage board to hold hearings and report and make recommendations to the governor and legislature no later than December 31, 2023.",,,,,,,,
S5326,link,Brisport,COFCCA,,Increases the state reimbursement rate for preventative child protective services from 65 to 75 percent.,,,,,,,,
S625B,link,Hoylman-Sigal,,,Provides a one-year payroll tax credit for compensation of journalists; sets a maximum amount of the credit for journalist employers and a maximum amount of the credit statewide; provides for the repeal of such provisions upon the expiration thereof.,,,,,,,,
S8479,link,Myrie,BRADY United Against Gun Violence,,Requires issuers of credit and debit cards to use certain merchant category codes for firearm and ammunition dealers.,,,,,,,,
S4400A,link,Webb,NY Birth Control Access Project,,Requires each institution within the state university of New York and the city university of New York to have at least one vending machine making emergency contraception available for purchase.,,,,,,,,
S402A,link,Parker,IPPNY,,Creates a revolving loan fund through the New York state energy research and development authority for the purpose of building renewable energy storage systems scaled to function as microgrids to power housing owned by the New York city housing authority.,,,,,,,,
S8545,link,Cooney,Community Healthcare Network,,Authorizes registered pharmacy technicians to administer the same immunizations as licensed pharmacists under direct supervision of such licensed pharamacist.,,,,,,,,
S153,link,Krueger,Fix the MTA,,Relates to owner liability for failure of operator to comply with bus operation-related local law or regulation traffic restrictions and to the adjudication of certain parking infractions; extends provisions relating to a bus rapid transit demonstration program to restrict the use of bus lanes by means of bus lane photo devices.,,,,,,,,
S4415,link,Comrie,Fix the MTA,,"Expedites MTA capital project improvement, construction, reconstruction, or rehabilitation by establishing a process for utility relocation necessary for such project.",,,,,,,,
S3545,link,Ramos,Fix the MTA,,Requires the metropolitan transportation authority to publish certain information pertaining to capital project data for projects that are committed for construction on the capital program dashboard maintained by the authority on the authority's website; requires sources of funding to be specified.,,,,,,,,
S4416,link,Comrie,Fix the MTA,,Provides that funds recovered from public authorities for the provision of governmental services and allocated to the independent authorities budget office shall only be used for direct expenses of the authorities budget office and may not be used for fringe benefits and indirect costs.,,,,,,,,
S1205,link,Gounardes,Fix the MTA,,Directs payment of certain internet sales and use taxes into the central business district tolling capital lockbox fund partially dedicated for the MTA to be made without appropriation.,,,,,,,,
S4417,link,Comrie,Fix the MTA,,"Updates value capture mechanisms for NYC and the MTA, including transparency requirements; makes such provisions permanent.",,,,,,,,
S2038A,link,Brisport,,,Increases from $300 to $725 the monthly rent subsidy payable for housing for a foster child living independently in certain circumstances.,,,,,,,,
S1729,link,Sanders,The Climate Reality Project,,Relates to the definition of coal tar and its use in pavement products.,,,,,,,,
S2510A,link,Ramos,,,Requires applicants for major projects located near a disadvantaged community to submit an enhanced public participation plan.,,,,,,,,
S992B,link,Hoylman-Sigal,,,Prohibits the sale and distribution of anti-fogging sprays and wipes containing perfluoroalkyl and polyfluoroalkyl substances; provides penalties for violations.,,,,,,,,
S643D,link,Kavanagh,,,"Relates to rechargeable battery recycling; adds a battery used as the principal electric power source for an electric scooter or bicycle with electric assist to the definition of ""rechargeable battery""; provides that a battery manufacturer may not sell, offer for sale, or distribute rechargeable batteries in the state unless the battery manufacturer is implementing or participating under an approved plan; allows a city with a population of one million or more to enforce through its own agencies.",,,,,,,,
S4350A,link,Hinchey,,,"Establishes the safe water and infrastructure action program for the purpose of making payments toward the replacement and rehabilitation of certain existing local drinking water, storm water and sanitary sewer systems; applies to any county, city, town, village or public authority drinking water system, storm water system or sanitary sewer system within the state that is not under the maintenance and/or operational jurisdiction of a private entity; does not apply to NYC.",,,,,,,,
S3335A,link,Mayer,Save the Sound,,"Establishes the office of flooding prevention and mitigation to manage and coordinate the work of task forces, commissions, and other bodies and programs tasked with examining issues related to flooding, to review and assess best practices and make recommendations regarding flood prevention and mitigation, and to assist municipalities in developing strategies and policies to combat flooding.",,,,,,,,
S7764,link,Harckham,Save the Sound,,"Establishes the water resiliency projects fund for flood mitigation, stormwater mitigation and other water related resiliency projects; makes an appropriation therefor.",,,,,,,,
S1179,link,Harckham,Save the Sound,,Provides an exemption from requirements for the alienation of parkland for renewable energy generating projects with a generating capacity not exceeding two megawatts and which are located above real property currently used for vehicle parking.,,,,,,,,
S8357A,link,Webb,The Climate Reality Project,,Prohibits well permits from being issued to an applicant that uses carbon dioxide to complete or recomplete natural gas or oil resources.,,,,,,,,
S8703,link,Hinchey,Riverkeeper,,Requires the owner or operator of a major facility or a vessel to establish and maintain with the department evidence of financial responsibility sufficient to meet the amount of liability.,,,,,,,,
S8861,link,May,Riverkeeper,,"Includes stormwater in the definition of sewage for purposes of certain water, sewer, and water and sewer authorities; defines stormwater.",,,,,,,,
S1291,link,Brouk,ACL,,Establishes an annual cost of living adjustment for human services programs indexed to inflation.,,,,,,,,
S1012B,link,Cooney,Tech Net,,Provides that a person may operate a fully autonomous vehicle on the public roads of this state without a human driver provided that the automated driving system is engaged and the vehicle meets certain conditions; defines terms; requires insurance and that such vehicle is registered as a fully autonomous vehicle; makes related provisions.,,,,,,,,
S6099A,link,Hoylman-Sigal,,,Removes statute of limitations for certain civil actions related to child sexual assault offenses.,,,,,,,,
S994,link,Hoylman-Sigal,,,"Prohibits the admissibility of evidence of a victim's sexual conduct, sexual predisposition, or manner of dress in civil actions or proceedings; provides limited exceptions.",,,,,,,,
S7796,link,Salazar ,,,"Relates to the tolling of statute of limitations for individuals in state custody; provides that with respect to state action brought by anyone to recover damages for physical, psychological, or other injury or condition suffered while in state custody, the time in which such action must commence shall be extended to three years after such person is released from such custody.",,,,,,,,
S349B,link,Cleare,,,"Extends the statute of limitations of actions related to certain sex trafficking offenses, reviving such actions otherwise barred by the existing statute of limitations; grants trial preference to such actions; exempts such actions from certain provisions requiring notice of claims.",,,,,,,,
S3257,link,Hoylman-Sigal,,,Requires entities that submit records to state agencies that are excepted from disclosure under FOIL to periodically re-apply for the exception.,,,,,,,,
S5801,link,Liu,,,Provides for the award of reasonable attorneys' fees in FOIL proceedings if the person is successful and in open meeting proceedings to the successful petitioner and against the public body.,,,,,,,,
S4334,link,Sepulveda,NYSDA,,Expands the Doctors Across New York program to include dentists.,,,,,,,,
S4708,link,Walczyk,NYSDA,,Relates to creating the medical professionals across rural New York state student loan repayment fund pilot program for certain participating professionals that make a two year commitment to practice in a tract or county defined by the health resources and services administration as being rural or eligible for a rural health grant.,,,,,,,,
S8546,link,Jackson,IBEW/Local 1-2 UWUA,,"Requires every renewable energy generating project receiving grants, guaranteed loans, tax benefits or funding from New York state to enter into a memorandum of understanding for the operation and maintenance of such project with a bona fide labor organization of jurisdiction that is actively engaged in representing transitioning utility workers in the fossil fuel industry.",,,,,,,,
S4555A,link,,NYS Coaliation Against Sexual Assault,,,,,,,,,,
S8626,link,Mannion,IBEW/Local 1-2 UWUA,,Relates to call centers for gas and electric corporations; sets penalties for violations.,,,,,,,,
S994,link,,NYS Coaliation Against Sexual Assault,,,,,,,,,,
S8128,link,Skoufis,NYS Coaliation Against Sexual Assault,,Relates to the maximum allowable time frames to respond to requests for records under the freedom of information act.,,,,,,,,
S8671,link,Hoylman-Sigal,NYS Coaliation Against Sexual Assault,,"Requires all agencies to submit to the committee on open government a log of all freedom of information law requests for each year in which they received or have pending a request for records; requires the committee on open government to publish, on one webpage, all freedom of information law request logs it receives.",,,,,,,,
S997A,link,Hoylman-Sigal,NYS Coaliation Against Sexual Assault,,Prohibits the use of a victim's DNA collected from sexual offense evidence kits from being added to the state DNA identification index or other databases or being used in certain actions.,,,,,,,,
S5916,link,Hoylman-Sigal,NYS Coaliation Against Sexual Assault,,Exempts a civil claim or cause of action revived pursuant to section two hundred fourteen-j of the civil practice law and rules from certain filing and notice requirements.,,,,,,,,
S4358,link,Fernandez,NYS Coaliation Against Sexual Assault,,"Provides that consent to sexual contact is a knowing, voluntary, and mutual decision among all participants; makes related provisions.",,,,,,,,
S6975,link,,NYS Coaliation Against Sexual Assault,,Authorizes the state inspector general to receive and investigate complaints of sexual assault in correctional facilities and other places operated by the department of corrections and community supervision for the confinement of persons; requires the state inspector general to establish protocol and procedures for such reports and investigations.,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
S8347,link,Brouk,NYSDA,,"Establishes the Take A Look medical and dental workforce employment tour pilot program which is a campaign to promote and market the health care workforce employment and career opportunities in the following economic development regions: central, north country, western, finger lakes, capital region, mohawk and southern tier.",,,,,,,,
S8582,link,Skoufis,NYSDA,,Establishes a pilot program for establishing and operating certain rural health zones.,,,,,,,,
S7013,link,Breslin,NYSDA,,Establishes a medical loss ratio for dental insurance of not less than 82% for calendar year 2024 and thereafter.,,,,,,,,
S7577,link,Breslin,NYSDA,,"Relates to addressing non-covered dental services by prohibiting insurers and managed care entities from setting fees or requiring approval fees for services not covered under a person's dental plan; prohibits medical expense indemnity corporations, dental expense indemnity corporations and health service corporations from setting fees or requiring approval fees for services not covered under a person's dental plan.",,,,,,,,
S8090,link,Gounardes,NYSDA,,Removes references of law related to restoring and maintaining dental health.,,,,,,,,
S752,link,Sepulveda,Associated General Contractors NYS,,"Relates to project labor agreement feasibility studies and apprenticeship agreements; provides the study shall look to see if there will be a negative impact on opportunities for minority, women or service-disabled veteran owned businesses; provides such feasibility studies shall be provided to the public for review and comment.",,,,,,,,
S3258,link,Hoylman-Sigal,,,Prohibits employers from requiring certain conditions or preconditions of employment. Idea is to prevent employees from being forced to sign coercive contracts. ,,,,,,,,
S7387,link,Parker,,,Provides for employment opportunities for economically disadvantaged candidates and economically disadvantaged region candidates and apprenticeship utilization on public transactions; provides for the repeal of such provisions upon the expiration thereof.,,,,,,,,
S8676,link,Rivera,,,"Enacts the ""Livable New York act"" to fight back against climate change, provide additional affordable housing and provide employment opportunities for formerly incarcerated individuals.",,,1. Yes,,,,,
S489,link,Comrie,,,"Establishes a comprehensive electric vehicle fast charging station implementation plan; requires the New York state energy and research development authority to further establish a ""Fast Charge NY working group"" to develop such plan; makes related provisions.",,,,,,,,
S7656,link,May,,,"Permits and encourages state owned parking facilities to install solar canopies in any parking garage, open parking lot or other parking facility owned and/or operated by the state of New York, that offers parking spaces for the purposes of public use, state employee use or pay-per-usage constructed prior to January first, two thousand twenty-eight; requires such installation after January 1, 2028.",,,,,,,,
S7905,link,Parker,,,"Enacts the climate and community investment act; prioritizes the allocation of public investments in disadvantaged communities; addresses climate change challenges through the expansion and growth of clean and renewable energy sources; adopts best value requirements for the solicitation, evaluation and award of renewable energy projects; establishes a community just transition program; establishes a climate pollution fee and a household and small business energy rebate; creates the climate and community investment authority.",,,,,,,,
S1942,link,Bailey,,,Relates to providing voice communication services to incarcerated individuals in state correctional facilities at no cost.,,,1. Yes,,,,,
S8835,link,Cleare,,,Enacts the consumer protection and automotive transparency act mandating transparency in automotive labeling relating to materials used in automobiles.,,,,,,,,
S8855,link,Jackson,phone,,,,,,,,,,
S2852A,link,,Email,,,,,,,,,,
S5632,link,,Email,,,,,,,,,,
S6781,link,,NYC Commuter Van Association,,,,,,,,,,
S8432,link,,NYC Commuter Van Association,,,,,,,,,,
S8724,link,,Email,,,,1. High,,,,,,
S2860,link,,Trans Prisoners Coalition,,,,,,,,,,
S601,link,Salazar,Meeting with the International Window Film Association,,Relates to the level of acceptable light transmittance of automobile window tint and film.,,2. Normal,,1. Yes,,,,
S8380,link,Jackson,Joanna M.,,Updates provisions relating to dignity for all students including establishing the student suicide prevention act which includes curriculum and teacher training requirements designed to prevent student suicide with a focus on LGBTQ students; makes an appropriation therefor.,,1. High,,,,,,
S3227,link,Hoylman-Sigal,Joanna M.,,"Prohibits health insurers, health care plans and HMOs from requiring prior authorization for pre-exposure prophylaxis used to prevent HIV infection.",,1. High,,1. Yes,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
,link,,,,,,,,,,,,
